Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
Eswort Lorenzo Brian Coombs,M,23.0,187.0,74.0,Saint Vincent and the Grenadines,VIN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres,
Eswort Lorenzo Brian Coombs,M,23.0,187.0,74.0,Saint Vincent and the Grenadines,VIN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,
Eswort Lorenzo Brian Coombs,M,23.0,187.0,74.0,Saint Vincent and the Grenadines,VIN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,
Joseph Coombs,M,24.0,185.0,80.0,Trinidad and Tobago,TTO,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 400 metres Relay,
Joseph Coombs,M,28.0,185.0,80.0,Trinidad and Tobago,TTO,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 400 metres,
Joseph Coombs,M,28.0,185.0,80.0,Trinidad and Tobago,TTO,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,
Arthur Cooper,M,20.0,173.0,66.0,Trinidad and Tobago,TTO,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 400 metres,
Arthur Cooper,M,20.0,173.0,66.0,Trinidad and Tobago,TTO,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,
John Hugh Cooper,M,23.0,188.0,85.0,Great Britain,GBR,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 400 metres Hurdles,Silver
John Hugh Cooper,M,23.0,188.0,85.0,Great Britain,GBR,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
John Hugh Cooper,M,27.0,188.0,85.0,Great Britain,GBR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 400 metres Hurdles,
Sayon Cooper,M,22.0,175.0,74.0,Liberia,LBR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,
Sayon Cooper,M,22.0,175.0,74.0,Liberia,LBR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,
Sayon Cooper,M,26.0,175.0,74.0,Liberia,LBR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,
Sayon Cooper,M,26.0,175.0,74.0,Liberia,LBR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 200 metres,
Sayon Cooper,M,26.0,175.0,74.0,Liberia,LBR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,
Theron Cooper,M,22.0,183.0,75.0,Bahamas,BAH,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,
Yasmani Copello Escobar,M,29.0,191.0,85.0,Turkey,TUR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres Hurdles,Bronze
Carol Corbu,M,26.0,197.0,85.0,Romania,ROU,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Long Jump,
Domingo Antonio Cordero Clase,M,22.0,188.0,75.0,Puerto Rico,PUR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 400 metres Hurdles,
Domingo Antonio Cordero Clase,M,26.0,188.0,75.0,Puerto Rico,PUR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres Hurdles,
Domingo Antonio Cordero Clase,M,30.0,188.0,75.0,Puerto Rico,PUR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres Hurdles,
Antonio Corgos Cervantes,M,20.0,183.0,78.0,Spain,ESP,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Long Jump,
Antonio Corgos Cervantes,M,24.0,183.0,78.0,Spain,ESP,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Long Jump,
Antonio Corgos Cervantes,M,28.0,183.0,78.0,Spain,ESP,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Long Jump,
Giovanni Cornacchia,M,21.0,186.0,78.0,Italy,ITA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 110 metres Hurdles,
Giovanni Cornacchia,M,25.0,186.0,78.0,Italy,ITA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 110 metres Hurdles,
Giovanni Cornacchia,M,29.0,186.0,78.0,Italy,ITA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 110 metres Hurdles,
Everton Cornelius,M,21.0,180.0,72.0,Antigua and Barbuda,ANT,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,
Gaiet Cornet Pamies,M,25.0,183.0,70.0,Spain,ESP,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 400 metres,
Gaiet Cornet Pamies,M,28.0,183.0,70.0,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres,
Gaiet Cornet Pamies,M,28.0,183.0,70.0,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,
Lionel John Cornish,M,28.0,,,Great Britain,GBR,1908 Summer,1908,Summer,London,Athletics,Athletics Men's Long Jump,
Cristbal Corrales,M,21.0,168.0,68.0,Honduras,HON,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 200 metres,
Paulo Roberto Correia,M,20.0,178.0,72.0,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 200 metres,
Paulo Roberto Correia,M,20.0,178.0,72.0,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,
Paulo Roberto Correia,M,24.0,178.0,72.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,
Paulo Roberto Correia,M,24.0,178.0,72.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,
Armando de Freitas Zuzarte Luzarte Corteso,M,21.0,,,Portugal,POR,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 400 metres,
Omer Gustaaf Corteyn,M,23.0,,,Belgium,BEL,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 400 metres,
Omer Gustaaf Corteyn,M,23.0,,,Belgium,BEL,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 4 x 400 metres Relay,
Richard Corts,M,22.0,177.0,68.0,Germany,GER,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,
Richard Corts,M,22.0,177.0,68.0,Germany,GER,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Jean-Pierre Corval,M,23.0,181.0,76.0,France,FRA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 400 metres Hurdles,
Jean-Pierre Corval,M,27.0,181.0,76.0,France,FRA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 110 metres Hurdles,
Aleksandar osi,M,26.0,176.0,72.0,Yugoslavia,YUG,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,
Eduardo Alberto Gomes Costa,M,25.0,,,Mozambique,MOZ,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,
Narciso Valdares Costa,M,20.0,,,Brazil,BRA,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 400 metres,
Francisco Costas,M,,180.0,,Mexico,MEX,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,
Francisco Costas,M,,180.0,,Mexico,MEX,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 200 metres,
Hctor Cotto Gonzlez,M,23.0,191.0,82.0,Puerto Rico,PUR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 110 metres Hurdles,
Hctor Cotto Gonzlez,M,27.0,191.0,82.0,Puerto Rico,PUR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 110 metres Hurdles,
Paul Couillaud,M,30.0,,,France,FRA,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's Long Jump,
Eugne Coulon,M,20.0,,,France,FRA,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's Long Jump,
"Charles Frank ""Chan"" Coulter",M,22.0,183.0,74.0,United States,USA,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 400 metres Hurdles,
"Thomas Henry ""Tom"" Coulter",M,21.0,188.0,,Canada,CAN,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 400 metres Hurdles,
Charles Courtin,M,,,,France,FRA,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's Long Jump,
John Ira Courtney,M,23.0,180.0,72.0,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,
John Ira Courtney,M,23.0,180.0,72.0,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 200 metres,
John Ira Courtney,M,23.0,180.0,72.0,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 4 x 100 metres Relay,
"Thomas William ""Tom"" Courtney",M,23.0,188.0,81.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Anthony Francis Coutinho,M,24.0,172.0,63.0,India,IND,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 100 metres Relay,
Kurt Leonel da Rocha Couto,M,19.0,180.0,74.0,Mozambique,MOZ,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 400 metres Hurdles,
Kurt Leonel da Rocha Couto,M,27.0,180.0,74.0,Mozambique,MOZ,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 400 metres Hurdles,
Kurt Leonel da Rocha Couto,M,31.0,180.0,74.0,Mozambique,MOZ,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres Hurdles,
Dion Kwasi Crabbe,M,27.0,178.0,77.0,British Virgin Islands,IVB,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 200 metres,
Ralph Cook Craig,M,22.0,182.0,73.0,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,Gold
Ralph Cook Craig,M,22.0,182.0,73.0,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 200 metres,Gold
Peter Crampton,M,27.0,194.0,85.0,Great Britain,GBR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres Hurdles,
Walter William Craner,M,21.0,,,Great Britain,GBR,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 4 x 400 metres Relay,
Raymond Crapet,M,21.0,,,France,FRA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 400 metres,
Stelio Newton Craveirinha,M,30.0,,,Mozambique,MOZ,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Long Jump,
Hasely Joachim Crawford,M,22.0,187.0,90.0,Trinidad and Tobago,TTO,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,
Hasely Joachim Crawford,M,25.0,187.0,90.0,Trinidad and Tobago,TTO,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,Gold
Hasely Joachim Crawford,M,25.0,187.0,90.0,Trinidad and Tobago,TTO,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 200 metres,
Hasely Joachim Crawford,M,29.0,187.0,90.0,Trinidad and Tobago,TTO,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,
Hasely Joachim Crawford,M,29.0,187.0,90.0,Trinidad and Tobago,TTO,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 100 metres Relay,
Hasely Joachim Crawford,M,33.0,187.0,90.0,Trinidad and Tobago,TTO,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,
Shawn Crawford,M,26.0,181.0,86.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,
Shawn Crawford,M,26.0,181.0,86.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 200 metres,Gold
Shawn Crawford,M,26.0,181.0,86.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Shawn Crawford,M,30.0,181.0,86.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 200 metres,Silver
Allen David Crawley,M,27.0,183.0,76.0,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Long Jump,
Eric Shauwn Brazas Cray,M,27.0,176.0,70.0,Philippines,PHI,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres Hurdles,
Mark James Crear,M,27.0,186.0,79.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 110 metres Hurdles,Silver
Mark James Crear,M,31.0,186.0,79.0,United States,USA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 110 metres Hurdles,Bronze
Esteban Crespo,M,,170.0,,Mexico,MEX,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's Long Jump,
Roman William Cress,M,31.0,,,Marshall Islands,MHL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,
Jrme Marcel Crews,M,27.0,190.0,88.0,Germany,GER,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 110 metres Hurdles,
Marco Cribari,M,23.0,185.0,84.0,Switzerland,SUI,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 200 metres,
Giorgio Croci,M,27.0,,,Italy,ITA,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 100 metres,
Giorgio Croci,M,27.0,,,Italy,ITA,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 4 x 100 metres Relay,
"Thomas Francis ""Tom"" Cronan",M,20.0,,,United States,USA,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's Long Jump,
Yves I. Cros,M,24.0,173.0,67.0,France,FRA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 400 metres Hurdles,
Gordon Crosby,M,25.0,,,Canada,CAN,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 110 metres Hurdles,
Gordon Crosby,M,25.0,,,Canada,CAN,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 4 x 100 metres Relay,
"William Frederick ""Bill"" Crothers",M,23.0,183.0,71.0,Canada,CAN,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 400 metres,
"William Frederick ""Bill"" Crothers",M,27.0,183.0,71.0,Canada,CAN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 400 metres Relay,
Siegfried Cruden,M,24.0,168.0,64.0,Suriname,SUR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,
Jorge Luis Crusellas Alvarez,M,29.0,175.0,75.0,Cuba,CUB,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,
Arthur Roy Cruttenden,M,31.0,,,Great Britain,GBR,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's Long Jump,
Heriberto Cruz,M,25.0,190.0,74.0,Puerto Rico,PUR,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 110 metres Hurdles,
David Samuel Cruz,M,20.0,190.0,73.0,Puerto Rico,PUR,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Long Jump,
Gyrgy Csnyi,M,26.0,177.0,68.0,Hungary,HUN,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 100 metres,
Gyrgy Csnyi,M,26.0,177.0,68.0,Hungary,HUN,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 4 x 100 metres Relay,
Gyrgy Csnyi,M,30.0,177.0,68.0,Hungary,HUN,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 100 metres,
Gyrgy Csnyi,M,30.0,177.0,68.0,Hungary,HUN,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Gyrgy Csnyi,M,34.0,177.0,68.0,Hungary,HUN,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 4 x 100 metres Relay,
Levente Csillag,M,26.0,190.0,81.0,Hungary,HUN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 110 metres Hurdles,
Levente Csillag,M,30.0,190.0,81.0,Hungary,HUN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 110 metres Hurdles,
Levente Csillag,M,34.0,190.0,81.0,Hungary,HUN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 110 metres Hurdles,
Csaba Csutors,M,22.0,186.0,84.0,Hungary,HUN,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 200 metres,
Csaba Csutors,M,22.0,186.0,84.0,Hungary,HUN,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 400 metres,
Csaba Csutors,M,27.0,186.0,84.0,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 100 metres,
Csaba Csutors,M,27.0,186.0,84.0,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 200 metres,
Csaba Csutors,M,27.0,186.0,84.0,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 100 metres Relay,
Antonio Cuba,M,21.0,,,Peru,PER,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 100 metres,
Tadeusz Cuch,M,27.0,179.0,70.0,Poland,POL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,
Tadeusz Cuch,M,27.0,179.0,70.0,Poland,POL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,
Gustavo Cuesta Rosario,M,23.0,183.0,80.0,Dominican Republic,DOM,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,
Gustavo Cuesta Rosario,M,27.0,183.0,80.0,Dominican Republic,DOM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres,
Gustavo Cuesta Rosario,M,27.0,183.0,80.0,Dominican Republic,DOM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,
Winder Bolivar Cuevas Prez,M,23.0,170.0,65.0,Dominican Republic,DOM,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 400 metres Hurdles,
Frank Josef Cuhel,M,23.0,178.0,73.0,United States,USA,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 400 metres Hurdles,Silver
"David Thomas ""Dave"" Culbert",M,21.0,191.0,85.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Long Jump,
"David Thomas ""Dave"" Culbert",M,25.0,191.0,85.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Long Jump,
"Joshua ""Josh"" Culbreath",M,24.0,170.0,62.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 400 metres Hurdles,Bronze
Larry Dan E. Cullen,M,,,,Ireland,IRL,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 200 metres,
Bernd Cullmann,M,20.0,180.0,71.0,Germany,GER,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
Javier Culson Prez,M,24.0,200.0,82.0,Puerto Rico,PUR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres Hurdles,
Javier Culson Prez,M,28.0,200.0,82.0,Puerto Rico,PUR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 400 metres Hurdles,Bronze
Javier Culson Prez,M,32.0,200.0,82.0,Puerto Rico,PUR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres Hurdles,
"Henry Harford Cumming, Jr.",M,22.0,178.0,72.0,United States,USA,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 200 metres,
Kirk Dwight Cummins,M,23.0,174.0,77.0,Barbados,BAR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,
Lus Filipe Vtorino Cunha,M,23.0,175.0,68.0,Portugal,POR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,
Lus Filipe Vtorino Cunha,M,23.0,175.0,68.0,Portugal,POR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 200 metres,
Lus Filipe Vtorino Cunha,M,27.0,175.0,68.0,Portugal,POR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,
Lus Filipe Vtorino Cunha,M,31.0,175.0,68.0,Portugal,POR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,
Morris Joseph Curotta,M,19.0,183.0,73.0,Australia,AUS,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 100 metres,
Morris Joseph Curotta,M,19.0,183.0,73.0,Australia,AUS,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 400 metres,
Morris Joseph Curotta,M,19.0,183.0,73.0,Australia,AUS,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 4 x 100 metres Relay,
Morris Joseph Curotta,M,23.0,183.0,73.0,Australia,AUS,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 400 metres,
Morris Joseph Curotta,M,23.0,183.0,73.0,Australia,AUS,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 4 x 100 metres Relay,
Morris Joseph Curotta,M,23.0,183.0,73.0,Australia,AUS,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 4 x 400 metres Relay,
"Thomas Pelham ""Tom"" Curtis",M,23.0,176.0,66.0,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 100 metres,
"Thomas Pelham ""Tom"" Curtis",M,23.0,176.0,66.0,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 110 metres Hurdles,Gold
Paulo Miguel Curvelo,M,28.0,173.0,74.0,Portugal,POR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,
Paulo Miguel Curvelo,M,32.0,173.0,74.0,Portugal,POR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,
Pedro Miguel Curvelo,M,28.0,173.0,74.0,Portugal,POR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,
Pedro Miguel Curvelo,M,32.0,173.0,74.0,Portugal,POR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,
Guy Cury,M,26.0,181.0,74.0,France,FRA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 400 metres Hurdles,
"Clifton Emmett ""Cliff"" Cushman",M,22.0,188.0,72.0,United States,USA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 400 metres Hurdles,Silver
Denis John Cussen,M,26.0,,,Ireland,IRL,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,
Alain Cuypers,M,20.0,181.0,69.0,Belgium,BEL,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 110 metres Hurdles,
Alain Cuypers,M,20.0,181.0,69.0,Belgium,BEL,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 400 metres Hurdles,
Grzegorz Cybulski,M,20.0,178.0,69.0,Poland,POL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Long Jump,
Grzegorz Cybulski,M,24.0,178.0,69.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Long Jump,
Wilfrid Cyriaque,M,25.0,173.0,70.0,Haiti,HAI,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 400 metres,
Jerzy Czerbniak,M,24.0,178.0,72.0,Poland,POL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,
Damian Czykier,M,23.0,191.0,78.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 110 metres Hurdles,
Naiel Santiago D'Almeida,M,21.0,171.0,65.0,Sao Tome and Principe,STP,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres,
"Lawrence Leys ""Laurie"" D'Arcy",M,25.0,183.0,73.0,New Zealand,NZL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,
"Victor Henry Augustus ""Vic"" d'Arcy",M,24.0,172.0,63.0,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,
"Victor Henry Augustus ""Vic"" d'Arcy",M,24.0,172.0,63.0,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 200 metres,
"Victor Henry Augustus ""Vic"" d'Arcy",M,24.0,172.0,63.0,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
"Victor Henry Augustus ""Vic"" d'Arcy",M,32.0,172.0,63.0,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 100 metres,
"Victor Henry Augustus ""Vic"" d'Arcy",M,32.0,172.0,63.0,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 200 metres,
"Victor Henry Augustus ""Vic"" d'Arcy",M,32.0,172.0,63.0,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 4 x 100 metres Relay,
Sergio D'Asnasch,M,22.0,,,Italy,ITA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 200 metres,
Jos Telles da Conceio,M,25.0,186.0,74.0,Brazil,BRA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 200 metres,
Jos Telles da Conceio,M,25.0,186.0,74.0,Brazil,BRA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 4 x 100 metres Relay,
Jos Telles da Conceio,M,29.0,186.0,74.0,Brazil,BRA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 200 metres,
Christopher Lima da Costa,M,24.0,175.0,62.0,Sao Tome and Principe,STP,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,
Mrcio Rogrio da Cruz,M,22.0,185.0,75.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Long Jump,
Affonso Coelho da Silva,M,26.0,163.0,57.0,Brazil,BRA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,
Andr Domingos da Silva,M,19.0,187.0,78.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,
Andr Domingos da Silva,M,23.0,187.0,78.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,
Andr Domingos da Silva,M,23.0,187.0,78.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Andr Domingos da Silva,M,27.0,187.0,78.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 200 metres,
Andr Domingos da Silva,M,27.0,187.0,78.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Andr Domingos da Silva,M,31.0,187.0,78.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,
